id,parcel_id,inactive,name,rentable,type,primary_user,address_number,street,zip,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1687857237,115-E-40,f,Brighton Heights Park Storage Building,f,Storage,Department of Public Works,NA,BRIGHTON WOODS RD,,https://tools.wprdc.org/images/pittsburgh/facilities/Brighton_Heights_Park_Storage_Building.jpg,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48750872,-80.03216541
1320225488,115-E-40,f,Brighton Heights Park Third Base Dugout,f,Dugout,Department of Public Works,NA,BRIGHTON WOODS RD,,https://tools.wprdc.org/images/pittsburgh/facilities/Brighton_Heights_Park_Third_Base_Dugout.jpg,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48674629,-80.03120486
978364620,75-D-197,f,Legion Park Building,f,Shelter,Department of Public Works,3615,BRIGHTON RD,,https://tools.wprdc.org/images/pittsburgh/facilities/Legion_Park_Building.jpg,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48176454,-80.0343009
380488687,114-K-94,f,Marmaduke Deck Hockey Benches,f,Dugout,Department of Public Works,NA,,,https://tools.wprdc.org/images/pittsburgh/facilities/Marmaduke_Deck_Hockey_Benches.jpg,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48437884,-80.04310821
1701661171,75-H-12,f,Brighton Heights Senior Center,t,Senior,CitiParks,3515,MCCLURE AVE,15212,https://tools.wprdc.org/images/pittsburgh/facilities/Brighton_Heights_Senior_Center.jpg,Brighton Heights,1,27,42003270300,1,27,1,1-14,40.47926492,-80.03582778
1169749189,115-E-40,f,Brighton Heights Pool Guard Room,f,Pool,CitiParks,600,BRIGHTON WOODS RD,15212,https://tools.wprdc.org/images/pittsburgh/facilities/Brighton_Heights_Pool_Guard_Room.jpg,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48698091,-80.03102431
845750479,75-C-161,f,Firehouse 35,f,Firehouse,Department of Public Safety,1519,ORCHLEE ST,15212,https://tools.wprdc.org/images/pittsburgh/facilities/Firehouse_35.jpg,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.4817305,-80.0389756
1944072896,115-E-40,f,Brighton Heights Park Shelter,t,Shelter,Department of Public Works,NA,BRIGHTON WOODS RD,,https://tools.wprdc.org/images/pittsburgh/facilities/Brighton_Heights_Park_Shelter.jpg,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48679067,-80.03212889
1228939524,96-G-1,f,Danny McGibbeny Memorial Field First Base Dugout,f,Dugout,Department of Public Works,1400,OAKRIDGE ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Danny_McGibbeny_Memorial_Field_First_Base_Dugout.jpg,Brookline,4,32,42003320600,5,32,6,4-26,40.39134139,-80.00742316
1004829475,96-G-1,f,Sam Bryen Field 1 First Base Dugout,f,Dugout,Department of Public Works,1400,OAKRIDGE ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Sam_Bryen_Field_1_First_Base_Dugout.jpg,Brookline,4,32,42003320600,5,32,6,4-25,40.38957848,-80.00695249
990362243,96-G-1,f,Brookline Memorial Park Lower Concession Stand,f,Concession,Department of Public Works,1400,OAKRIDGE ST,16226,https://tools.wprdc.org/images/pittsburgh/facilities/Brookline_Memorial_Park_Lower_Concession_Stand.jpg,Brookline,4,32,42003320600,5,32,6,4-25,40.38960192,-80.0067918
258430566,96-G-1,f,Brookline Memorial Park Shelter,t,Shelter,Department of Public Works,1400,OAKRIDGE ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Brookline_Memorial_Park_Shelter.jpg,Brookline,4,32,42003320600,5,32,6,4-26,40.39144762,-80.00797786
